,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,juris_desc,jurisdiction_code,ky_cd,lat_lon.latitude,lat_lon.longitude,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd
0,23,MANHATTAN,2018-01-01T00:00:00.000,14:12:00,584809341,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,341,40.789005785,-73.94362946,40.78900578500002,MISDEMEANOR,FRONT OF,-73.94362945999995,PETIT LARCENY,,PATROL BORO MAN NORTH,321.0,"LARCENY,PETIT FROM AUTO",STREET,2018-01-09T00:00:00.000,,,,,,25-44,WHITE HISPANIC,F,999860.0,226735.0
1,45,BRONX,2018-01-01T00:00:00.000,08:00:00,431146405,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.838136608,-73.845071726,40.83813660800007,MISDEMEANOR,FRONT OF,-73.84507172599997,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT FACILITY (OTHER),2018-07-28T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1027120.0,244668.0
2,113,QUEENS,2018-01-01T00:00:00.000,17:45:00,217381905,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,232,40.68372975,-73.784676421,40.683729750000055,MISDEMEANOR,,-73.78467642099997,POSSESSION OF STOLEN PROPERTY,,PATROL BORO QUEENS SOUTH,490.0,"STOLEN PROPERTY 3,POSSESSION",STREET,2018-01-01T00:00:00.000,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1043970.0,188448.0
3,103,QUEENS,2018-01-01T00:00:00.000,12:00:00,770510999,2018-06-21T00:00:00.000,18:40:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.697271541,-73.805740449,40.69727154100008,MISDEMEANOR,,-73.80574044899998,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",CONSTRUCTION SITE,2018-06-21T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1038117.0,193368.0
4,62,BROOKLYN,2018-01-01T00:00:00.000,00:00:00,315273862,2018-05-03T00:00:00.000,13:35:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,233,40.602603179,-74.00308766100001,40.60260317900003,MISDEMEANOR,INSIDE,-74.00308766099994,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175.0,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,2018-05-03T00:00:00.000,,,,,,<18,UNKNOWN,F,983393.0,158818.0
5,52,BRONX,2018-01-01T00:00:00.000,03:55:00,572692694,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,106,40.863700447,-73.905724473,40.86370044700004,FELONY,INSIDE,-73.90572447299998,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,2018-01-01T00:00:00.000,,25-44,BLACK HISPANIC,F,,25-44,WHITE HISPANIC,M,1010327.0,253958.0
6,7,MANHATTAN,2018-01-01T00:00:00.000,03:00:00,651555243,2018-01-01T00:00:00.000,03:12:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.712654762,-73.989973605,40.712654762000064,MISDEMEANOR,,-73.989973605,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,STREET,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,25-44,BLACK HISPANIC,F,987030.0,198913.0
7,68,BROOKLYN,2018-01-01T00:00:00.000,09:30:00,430716072,2018-01-08T00:00:00.000,15:53:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,340,40.620329619,-74.033818407,40.620329619000074,MISDEMEANOR,INSIDE,-74.03381840699996,FRAUDS,,PATROL BORO BKLYN SOUTH,718.0,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,2018-01-08T00:00:00.000,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,974862.0,165278.0
8,67,BROOKLYN,2018-01-01T00:00:00.000,00:05:00,824651995,2018-01-01T00:00:00.000,00:06:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.638881198,-73.943940035,40.63888119800004,MISDEMEANOR,INSIDE,-73.94394003499998,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,999809.0,172040.0
9,48,BRONX,2018-01-01T00:00:00.000,10:45:00,214280028,2018-02-09T00:00:00.000,15:47:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,361,40.848019724000004,-73.884352587,40.84801972400004,MISDEMEANOR,INSIDE,-73.88435258699997,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,2018-02-09T00:00:00.000,,25-44,BLACK,F,,25-44,BLACK,F,1016246.0,248252.0
